QuestionId	AnswerId	Score1	Score2
5	12633	2	0
5	12429	1	0
5	11652	2	0
5	11765	2	0
5	11675	2	1
5	11365	2	1
5	12696	2	0
5	11488	1	0
5	12541	2	0
5	11908	4	0
5	11691	1	1
5	12113	1	0
5	11338	1	1
5	12325	2	1
5	12468	1	0
5	11046	2	2
5	12154	2	0
5	12181	2	0
5	12529	2	0
5	11236	2	0
5	12524	1	0
5	11429	2	0
5	11038	2	0
5	11998	1	0
5	12749	1	0
5	12523	2	0
5	12400	1	0
5	12050	2	0
5	11115	2	0
5	12134	1	0
5	12396	2	1
5	11043	1	0
5	12166	1	0
5	11541	1	0
5	12517	1	0
5	11761	2	0
5	11515	1	1
5	12402	2	0
5	12437	2	1
5	12413	2	0
5	11631	2	0
5	11697	1	0
5	12693	2	1
5	11668	1	0
5	11416	1	1
5	11776	2	1
5	11280	2	1
5	11099	2	0
5	11754	2	1
5	11503	2	0
5	12168	1	1
5	12654	1	0
5	11534	1	0
5	12590	1	0
5	11125	2	0
5	12706	1	0
5	11558	2	1
5	12107	2	0
5	12500	2	3
5	12163	2	0
5	11005	1	0
5	11138	2	0
5	12714	2	0
5	12186	2	0
5	11251	2	0
5	11843	1	0
5	11174	2	0
5	11303	1	0
5	12092	1	0
5	11411	4	0
5	12083	1	0
5	11893	1	0
5	11343	2	0
5	11424	1	0
5	11999	1	0
5	12172	2	0
5	12578	1	0
5	12649	1	0
5	12483	2	0
5	11161	1	0
5	12386	1	1
5	11401	2	0
5	11219	2	0
5	11653	2	0
5	12558	2	0
5	11227	2	0
5	11409	2	0
5	11260	1	1
5	11242	2	0
5	12547	2	0
5	10971	2	2
5	12241	2	1
5	11598	1	0
5	12608	1	0
5	12196	1	0
5	11145	2	0
5	11029	2	0
5	11784	2	0
5	11179	2	1
5	12095	2	1
5	12105	2	0
5	11651	2	0
5	11720	1	3
5	12189	2	0
5	12535	1	1
5	11954	1	0
5	11996	2	0
5	12224	1	0
5	11257	2	0
5	12192	1	0
5	12683	2	0
5	12512	2	0
5	12198	2	1
5	12612	2	1
5	12639	2	0
5	12538	1	0
5	12482	1	0
5	11020	2	0
5	11202	2	0
5	12256	2	1
5	11991	2	1
5	12445	1	0
5	11076	1	0
5	12020	2	1
5	11492	1	0
5	11829	2	1
5	12164	1	0
5	11344	1	0
5	11867	1	0
5	11833	2	0
5	12653	1	0
5	12323	1	0
5	12657	2	0
5	12751	2	0
5	11307	2	0
5	11140	1	0
5	12317	1	1
5	12650	1	1
5	12231	2	1
5	12284	2	0
5	12139	1	1
5	11817	1	0
5	11694	2	0
5	12104	2	0
5	12518	2	0
5	12358	2	0
5	11474	1	0
5	11616	2	1
5	11234	1	0
5	12372	2	0
5	11034	1	0
5	11809	1	0
5	11889	2	0
5	12461	2	0
5	12245	2	0
5	11959	1	0
5	11261	1	0
5	11613	1	0
5	11672	2	0
5	11055	2	1
5	12418	2	0
5	11674	2	0
5	11580	2	1
5	12511	1	0
5	12071	1	0
5	11553	2	1
5	11292	1	0
5	11104	2	0
5	12184	1	0
5	11320	2	3
5	11082	2	0
5	12753	2	1
5	11311	2	0
5	11207	2	1
5	12285	2	0
5	11132	1	1
5	12044	1	0
5	11618	1	0
5	12246	1	0
5	12610	1	0
5	11015	1	0
5	12586	1	0
5	12227	1	0
5	11916	1	0
5	11218	2	0
5	12336	2	0
5	11787	2	0
5	12661	1	0
5	12112	2	0
5	12193	1	0
5	11317	2	0
5	11048	1	0
5	12353	2	1
5	11950	2	0
5	12061	2	1
5	12695	1	0
5	11596	4	0
5	11890	2	0
5	12130	2	0
5	11756	1	0
5	12761	1	0
5	11266	1	0
5	11486	2	1
5	11361	1	0
5	11915	2	0
5	11880	1	0
5	11850	2	0
5	11919	2	0
5	11114	4	0
5	11057	2	1
5	12334	1	0
5	12680	2	2
5	11849	2	0
5	12312	1	0
5	11604	1	0
5	12489	1	0
5	11973	1	0
5	12666	1	0
5	10984	2	0
5	12494	2	0
5	11858	1	0
5	12572	2	0
5	12393	2	0
5	12454	1	0
5	12434	1	0
5	11992	2	3
5	12268	1	0
5	12510	2	0
5	12724	1	1
5	11006	1	1
5	12160	2	0
5	12066	2	0
5	12059	1	0
5	12082	2	0
5	11066	2	0
5	12486	2	1
5	11902	2	0
5	11164	2	1
5	11000	2	0
5	11885	1	0
5	11399	2	0
5	12412	1	0
5	11468	2	0
5	10999	2	0
5	11767	2	1
5	12643	1	0
5	11127	2	0
5	12503	1	0
5	11063	2	0
5	11326	1	0
5	11105	2	1
5	12091	1	0
5	11698	1	0
5	11958	1	0
5	11192	1	0
5	12525	2	0
5	12068	2	0
5	11308	1	0
5	11990	2	0
5	11420	2	0
5	11355	1	1
5	12116	1	0
5	11822	1	0
5	12521	2	0
5	11868	1	3
5	12758	2	0
5	12705	2	0
5	11812	2	0
5	11811	1	0
5	12269	1	0
5	12292	2	0
5	12709	1	1
5	11147	4	0
5	12327	1	0
5	11671	1	1
5	11373	2	1
5	11606	2	0
5	12137	1	0
5	11703	1	1
5	12615	1	0
5	12077	1	0
5	11594	2	1
5	12526	1	0
5	12520	2	0
5	11284	2	1
5	12048	2	1
5	12743	2	0
5	11270	1	0
5	12757	2	0
5	12540	1	1
5	12216	2	0
5	12498	2	0
5	11041	2	1
5	11203	1	0
5	11869	2	1
5	11707	1	0
5	12311	1	0
5	11497	2	0
5	11814	2	0
5	11907	2	0
5	11315	2	1
5	12121	2	0
5	12243	1	0
5	12221	2	1
5	12169	1	0
5	11963	1	0
5	12623	2	0
5	12570	2	1
5	11636	1	1
5	12627	2	0
5	12114	1	0
5	11001	2	1
5	11159	2	1
5	11623	2	0
5	12580	1	0
5	11039	2	0
5	12439	2	3
5	11592	2	1
5	12185	1	1
5	12425	1	0
5	11667	1	1
5	11659	2	2
5	11619	1	0
5	11435	2	0
5	12671	2	1
5	11930	1	0
5	11793	2	0
5	12700	1	0
5	11464	1	1
5	11599	2	1
5	11862	1	0
5	11364	1	0
5	11726	2	0
5	11141	1	0
5	12449	2	1
5	10982	2	1
5	11151	2	0
5	11245	2	1
5	11310	1	1
5	11779	2	0
5	12752	1	0
5	11574	2	0
5	12041	2	0
5	11648	1	0
5	11457	2	1
5	11740	1	0
5	11341	1	0
5	12028	2	0
5	11984	1	2
5	11253	2	0
5	11783	2	1
5	12171	1	0
5	12569	2	0
5	11874	1	0
5	11071	2	0
5	11976	2	1
5	11415	2	0
5	12565	2	2
5	12560	2	0
5	12472	2	1
5	12410	1	0
5	11215	2	0
5	11693	1	1
5	12357	2	0
5	11268	2	1
5	11394	2	0
5	12309	2	0
5	11090	1	1
5	12718	1	0
5	12594	4	0
5	11517	1	0
5	12205	2	0
5	12178	2	0
5	11764	1	0
5	11374	2	0
5	11490	1	0
5	11939	2	2
5	11788	1	0
5	11710	2	0
5	11493	2	0
5	11150	2	0
5	11439	2	0
5	12532	2	0
5	11196	1	0
5	12604	1	0
5	11068	2	0
5	10967	2	1
5	11897	2	0
5	12315	1	0
5	10968	2	0
5	12638	1	0
5	11188	2	0
5	12707	2	1
5	12255	1	0
5	11821	2	0
5	11923	2	0
5	12349	2	2
5	11884	1	0
5	12742	1	1
5	12364	2	0
5	11254	2	1
5	11459	1	0
5	12033	2	3
5	12016	1	1
5	11157	1	2
5	11717	2	0
5	11544	2	0
5	11089	2	0
5	12129	4	0
5	11165	2	0
5	10993	2	0
5	12577	1	0
5	11042	1	0
5	11584	1	0
5	12111	1	0
5	12485	2	0
5	12207	1	0
5	11123	2	0
5	11398	2	1
5	12007	2	3
5	12306	1	0
5	11239	2	0
5	11112	1	0
5	11514	1	0
5	12738	1	0
5	12678	2	0
5	11476	1	1
5	11581	2	0
5	11759	1	0
5	11010	1	0
5	12080	1	0
5	12527	2	0
5	12391	1	0
5	12332	2	0
5	12440	1	0
5	12442	2	0
5	12155	2	0
5	11075	2	0
5	11752	2	0
5	11256	2	0
5	11339	2	0
5	12209	2	1
5	11499	2	0
5	10992	2	3
5	11097	2	0
5	12252	1	0
5	12226	2	0
5	12376	1	0
5	11855	2	0
5	11715	1	0
5	11018	2	0
5	12631	2	0
5	11412	2	0
5	12487	2	0
5	11563	2	0
5	11806	2	1
5	11666	2	1
5	11700	2	0
5	11977	1	0
5	12387	2	3
5	11274	2	0
5	11358	2	0
5	11742	1	0
5	11470	1	0
5	12302	2	0
5	12602	1	0
5	11299	1	0
5	12247	2	0
5	11466	2	2
5	11232	1	0
5	12119	1	0
5	11626	1	0
5	11419	2	0
5	11195	1	0
5	11359	2	0
5	11243	1	1
5	12455	1	0
5	12597	2	0
5	11407	2	1
5	12663	2	0
5	11876	2	0
5	11452	1	0
5	12740	1	0
5	12286	1	2
5	12443	1	1
5	12448	1	0
5	11723	2	3
5	12635	1	0
5	12414	2	0
5	12665	1	0
5	11108	1	1
5	11058	2	0
5	11980	2	1
5	12225	2	0
5	11730	2	0
5	11904	1	0
5	12070	1	0
5	11448	4	0
5	12234	1	0
5	11045	1	0
5	12430	1	0
5	11639	2	1
5	12658	1	0
5	12135	1	0
5	11458	2	0
5	12519	2	0
5	12401	1	0
5	11119	1	0
5	11956	2	0
5	11449	1	0
5	12676	2	1
5	11013	1	0
5	11438	2	0
5	11009	2	0
5	11842	2	0
5	11309	1	0
5	12677	2	0
5	12279	2	0
5	11098	2	1
5	11450	2	0
5	11872	1	3
5	12127	2	0
5	11739	1	2
5	11554	2	1
5	12690	4	0
5	12074	2	0
5	11643	1	0
5	11050	1	0
5	11129	1	0
5	11935	2	0
5	12338	2	0
5	12064	1	1
5	12551	2	0
5	11139	1	0
5	11135	2	1
5	12272	1	0
5	11719	2	0
5	11360	2	0
5	11156	2	0
5	11748	1	0
5	12588	1	0
5	11314	1	0
5	12576	2	0
5	11617	1	0
5	12369	2	0
5	12021	2	1
5	11278	2	1
5	12737	1	0
5	12131	2	1
5	11819	2	3
5	12264	2	0
5	12003	1	0
5	12270	1	0
5	11903	2	2
5	12567	1	1
5	11408	2	0
5	11545	2	1
5	11186	1	0
5	12634	2	0
5	12175	1	0
5	12530	1	0
5	11983	2	0
5	11952	1	0
5	12367	1	0
5	11366	2	0
5	11246	2	0
5	12464	1	0
5	12110	2	0
5	11975	2	0
5	11751	1	0
5	11676	2	0
5	11367	2	1
5	12416	1	0
5	11312	4	0
5	11083	2	2
5	11169	2	0
5	11491	1	1
5	11552	2	0
5	11709	1	0
5	11193	1	0
5	11023	2	1
5	12450	1	0
5	11272	1	0
5	12144	2	3
5	11735	2	1
5	11241	1	0
5	12360	2	0
5	12474	2	0
5	12276	2	1
5	11430	2	0
5	11535	2	0
5	10974	2	0
5	11953	1	2
5	12644	1	0
5	11040	2	0
5	12686	1	0
5	11293	1	0
5	11352	1	0
5	11747	2	0
5	11542	1	1
5	11021	1	0
5	11591	2	0
5	12217	2	0
5	11906	2	0
5	11477	1	0
5	12049	2	0
5	11085	2	0
5	12117	2	0
5	11826	2	0
5	11077	1	0
5	12642	2	1
5	11276	2	0
5	12249	2	0
5	11753	2	0
5	11985	2	1
5	12587	1	0
5	12206	2	0
5	11460	1	0
5	12728	2	0
5	11327	1	0
5	11437	2	0
5	11949	2	0
5	12124	2	0
5	11120	1	0
5	11785	2	0
5	11609	2	0
5	12652	1	0
5	11376	2	1
5	12093	1	0
5	10975	2	1
5	11211	2	0
5	11118	2	1
5	12076	2	0
5	12566	2	0
5	12415	2	0
5	11467	2	1
5	12289	2	1
5	11390	1	0
5	11349	1	0
5	12194	1	1
5	11025	2	0
5	12452	2	0
5	11051	2	1
5	11255	1	0
5	12099	2	1
5	12014	2	0
5	12404	2	1
5	11891	1	1
5	12065	2	0
5	11743	2	1
5	11797	1	0
5	11803	2	0
5	11778	2	0
5	11568	2	0
5	12699	2	1
5	11932	2	0
5	12637	2	0
5	11479	1	0
5	12211	1	0
5	11335	2	0
5	12378	2	1
5	11321	2	1
5	11194	1	1
5	11117	1	0
5	12267	2	0
5	11774	2	0
5	12701	2	0
5	11689	1	0
5	10996	2	2
5	11406	1	1
5	12195	1	0
5	11149	2	0
5	11901	2	0
5	10994	2	0
5	12259	1	0
5	11067	2	0
5	11323	1	0
5	12089	2	0
5	12408	2	0
5	11575	2	0
5	12161	2	0
5	11504	2	1
5	11687	2	1
5	12305	2	0
5	11724	1	2
5	11423	2	0
5	11679	2	0
5	12428	2	1
5	11982	2	0
5	11851	4	0
5	12052	2	0
5	12659	2	0
5	11974	2	1
5	11221	2	0
5	11852	2	0
5	12377	2	0
5	11333	2	1
5	11442	2	0
5	11548	2	1
5	11472	1	0
5	12596	2	0
5	11523	1	0
5	11768	2	1
5	12673	2	1
5	12297	2	0
5	11634	2	1
5	12237	1	0
5	12307	1	0
5	11354	2	0
5	12151	2	0
5	12710	2	0
5	11101	1	0
5	12508	2	0
5	12501	1	0
5	11664	1	0
5	11480	2	1
5	11433	1	1
5	11223	1	0
5	11879	2	1
5	11539	1	0
5	12073	1	0
5	12138	2	1
5	12739	2	1
5	12355	1	0
5	11185	2	1
5	12253	1	0
5	11092	2	0
5	11217	2	1
5	12606	2	0
5	12490	1	0
5	11669	2	0
5	12403	1	0
5	11103	2	2
5	12263	2	0
5	10998	2	0
5	11022	1	0
5	12698	2	0
5	12471	1	0
5	11645	2	0
5	11813	2	0
5	11654	2	0
5	11543	2	1
5	11267	2	0
5	11069	2	0
5	11758	1	0
5	11712	1	0
5	12687	1	1
5	12363	1	0
5	12331	2	0
5	12399	2	2
5	11555	2	1
5	11839	2	2
5	10991	2	0
5	11728	2	0
5	12039	1	0
5	11271	1	0
5	12271	2	0
5	11028	2	0
5	11334	2	0
5	12204	1	0
5	12374	1	0
5	12703	1	0
5	12278	2	0
5	12595	1	0
5	11989	1	1
5	12057	1	0
5	11064	2	0
5	12691	2	0
5	11924	2	0
5	12081	1	0
5	12197	1	0
5	11027	1	0
5	11167	1	0
5	12283	1	0
5	12136	1	0
5	12446	2	0
5	12368	1	0
5	11520	2	0
5	12496	1	0
5	12651	2	1
5	12732	2	0
5	11655	2	0
5	12548	1	0
5	12265	2	0
5	11094	1	0
5	12239	2	0
5	12436	2	2
5	12660	2	0
5	11670	1	1
5	12187	2	0
5	11682	2	3
5	12090	2	0
5	12096	2	0
5	11521	1	0
5	12750	4	0
5	11965	1	0
5	12624	1	0
5	11526	2	1
5	12219	2	0
5	11522	2	0
5	11895	1	0
5	11848	1	1
5	12719	2	0
5	11456	1	0
5	11368	2	2
5	11760	1	0
5	11562	2	0
5	11248	2	0
5	11329	2	0
5	11846	2	3
5	12564	1	0
5	10980	2	0
5	10979	2	1
5	11921	1	0
5	11805	1	0
5	11610	2	2
5	11170	1	0
5	11030	2	0
5	12469	1	0
5	11453	2	0
5	11031	1	0
5	11301	2	0
5	12251	2	0
5	11692	1	0
5	12214	1	0
5	12536	1	0
5	11002	1	0
5	12390	1	0
5	12013	1	0
5	12720	2	1
5	11294	2	0
5	12453	2	0
5	11371	2	0
5	11873	1	0
5	12528	1	0
5	12015	2	0
5	11405	1	0
